case_id;activity;timestamp;source
12;toilet;2011-06-30 23:37:37 UTC;["[\"toilet\"]"]
12;Start;2011-06-30 23:37:37 UTC;["[\"Start\"]"]
12;Start;2011-06-30 23:37:37 UTC;["[\"Start\"]"]
12;toilet;2011-06-30 23:38:53 UTC;["[\"toilet\"]"]
12;sleep;2011-06-30 23:38:55 UTC;["[\"sleep\"]"]
12;sleep;2011-07-01 02:06:37 UTC;["[\"sleep\"]"]
12;toilet;2011-07-01 02:06:43 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 02:08:23 UTC;["[\"toilet\"]"]
12;sleep;2011-07-01 02:08:26 UTC;["[\"sleep\"]"]
12;sleep;2011-07-01 05:09:24 UTC;["[\"sleep\"]"]
12;toilet;2011-07-01 05:09:27 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 05:11:04 UTC;["[\"toilet\"]"]
12;sleep;2011-07-01 05:11:05 UTC;["[\"sleep\"]"]
12;sleep;2011-07-01 06:31:19 UTC;["[\"sleep\"]"]
12;dress;2011-07-01 06:36:38 UTC;["[\"dress\"]"]
12;dress;2011-07-01 06:47:58 UTC;["[\"dress\"]"]
12;medication;2011-07-01 07:07:09 UTC;["[\"medication\"]"]
12;medication;2011-07-01 07:32:21 UTC;["[\"medication\"]"]
12;mealpreperation;2011-07-01 07:32:23 UTC;["[\"mealpreperation\"]"]
12;mealpreperation;2011-07-01 07:34:47 UTC;["[\"mealpreperation\"]"]
12;eatingdrinking;2011-07-01 07:38:11 UTC;["[\"eatingdrinking\"]"]
12;eatingdrinking;2011-07-01 07:42:32 UTC;["[\"eatingdrinking\"]"]
12;toilet;2011-07-01 07:50:23 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 07:51:36 UTC;["[\"toilet\"]"]
12;outdoors;2011-07-01 07:52:09 UTC;["[\"outdoors\"]"]
12;outdoors;2011-07-01 09:17:02 UTC;["[\"outdoors\"]"]
12;work;2011-07-01 09:17:25 UTC;["[\"work\"]"]
12;work;2011-07-01 09:27:41 UTC;["[\"work\"]"]
12;toilet;2011-07-01 09:28:39 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 09:36:04 UTC;["[\"toilet\"]"]
12;work;2011-07-01 09:50:51 UTC;["[\"work\"]"]
12;work;2011-07-01 10:24:53 UTC;["[\"work\"]"]
12;outdoors;2011-07-01 10:25:06 UTC;["[\"outdoors\"]"]
12;outdoors;2011-07-01 10:34:32 UTC;["[\"outdoors\"]"]
12;medication;2011-07-01 10:34:50 UTC;["[\"medication\"]"]
12;medication;2011-07-01 10:54:06 UTC;["[\"medication\"]"]
12;relax;2011-07-01 11:04:47 UTC;["[\"relax\"]"]
12;relax;2011-07-01 11:35:39 UTC;["[\"relax\"]"]
12;work;2011-07-01 11:35:55 UTC;["[\"work\"]"]
12;work;2011-07-01 11:41:01 UTC;["[\"work\"]"]
12;relax;2011-07-01 11:41:22 UTC;["[\"relax\"]"]
12;relax;2011-07-01 13:01:30 UTC;["[\"relax\"]"]
12;work;2011-07-01 13:01:42 UTC;["[\"work\"]"]
12;work;2011-07-01 13:15:04 UTC;["[\"work\"]"]
12;toilet;2011-07-01 13:16:34 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 13:16:58 UTC;["[\"toilet\"]"]
12;work;2011-07-01 13:20:08 UTC;["[\"work\"]"]
12;work;2011-07-01 13:26:07 UTC;["[\"work\"]"]
12;toilet;2011-07-01 13:26:14 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 13:28:28 UTC;["[\"toilet\"]"]
12;work;2011-07-01 13:28:52 UTC;["[\"work\"]"]
12;work;2011-07-01 13:37:53 UTC;["[\"work\"]"]
12;relax;2011-07-01 13:38:26 UTC;["[\"relax\"]"]
12;relax;2011-07-01 14:11:13 UTC;["[\"relax\"]"]
12;toilet;2011-07-01 14:11:16 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 14:12:35 UTC;["[\"toilet\"]"]
12;relax;2011-07-01 14:12:37 UTC;["[\"relax\"]"]
12;relax;2011-07-01 14:43:41 UTC;["[\"relax\"]"]
12;toilet;2011-07-01 14:43:43 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 14:44:01 UTC;["[\"toilet\"]"]
12;relax;2011-07-01 14:44:16 UTC;["[\"relax\"]"]
12;relax;2011-07-01 15:04:18 UTC;["[\"relax\"]"]
12;medication;2011-07-01 15:04:56 UTC;["[\"medication\"]"]
12;medication;2011-07-01 15:24:07 UTC;["[\"medication\"]"]
12;work;2011-07-01 15:24:08 UTC;["[\"work\"]"]
12;work;2011-07-01 15:34:18 UTC;["[\"work\"]"]
12;outdoors;2011-07-01 15:35:08 UTC;["[\"outdoors\"]"]
12;outdoors;2011-07-01 17:03:50 UTC;["[\"outdoors\"]"]
12;relax;2011-07-01 17:07:33 UTC;["[\"relax\"]"]
12;relax;2011-07-01 19:42:42 UTC;["[\"relax\"]"]
12;toilet;2011-07-01 19:42:46 UTC;["[\"toilet\"]"]
12;toilet;2011-07-01 19:43:56 UTC;["[\"toilet\"]"]
12;medication;2011-07-01 19:46:57 UTC;["[\"medication\"]"]
12;medication;2011-07-01 19:48:32 UTC;["[\"medication\"]"]
12;relax;2011-07-01 19:48:57 UTC;["[\"relax\"]"]
12;relax;2011-07-01 21:02:43 UTC;["[\"relax\"]"]
12;work;2011-07-01 21:02:52 UTC;["[\"work\"]"]
12;work;2011-07-01 21:49:18 UTC;["[\"work\"]"]
12;sleep;2011-07-01 21:57:10 UTC;["[\"sleep\"]"]
12;sleep;2011-07-02 00:43:32 UTC;["[\"sleep\"]"]
12;End;2011-07-02 00:43:32 UTC;["[\"End\"]"]
12;End;2011-07-02 00:43:32 UTC;["[\"End\"]"]
13;Start;2011-07-03 22:05:59 UTC;["[\"Start\"]"]
13;Start;2011-07-03 22:05:59 UTC;["[\"Start\"]"]
13;medication;2011-07-03 22:05:59 UTC;["[\"medication\"]"]
13;medication;2011-07-03 22:09:51 UTC;["[\"medication\"]"]
13;sleep;2011-07-03 22:10:27 UTC;["[\"sleep\"]"]
13;sleep;2011-07-04 01:26:59 UTC;["[\"sleep\"]"]
13;toilet;2011-07-04 01:27:01 UTC;["[\"toilet\"]"]
13;toilet;2011-07-04 01:30:10 UTC;["[\"toilet\"]"]
13;sleep;2011-07-04 01:30:11 UTC;["[\"sleep\"]"]
