;case_id;activity;timestamp;source
0;1;watchingtv;2012-11-18;"[""[\""watchingtv\""]""]"
1;1;Start;2012-11-18;"[""[\""Start\""]""]"
2;1;Start;2012-11-18;"[""[\""Start\""]""]"
3;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
4;1;sleeping;2012-11-19;"[""[\""sleeping\""]""]"
5;1;sleeping;2012-11-19;"[""[\""sleeping\""]""]"
6;1;toilet;2012-11-19;"[""[\""toilet\""]""]"
7;1;toilet;2012-11-19;"[""[\""toilet\""]""]"
8;1;prepareBreakfast;2012-11-19;"[""[\""prepareBreakfast\""]""]"
9;1;prepareBreakfast;2012-11-19;"[""[\""prepareBreakfast\""]""]"
10;1;eatingBreakfast;2012-11-19;"[""[\""eatingBreakfast\""]""]"
11;1;eatingBreakfast;2012-11-19;"[""[\""eatingBreakfast\""]""]"
12;1;shower;2012-11-19;"[""[\""shower\""]""]"
13;1;shower;2012-11-19;"[""[\""shower\""]""]"
14;1;washing;2012-11-19;"[""[\""washing\""]""]"
15;1;washing;2012-11-19;"[""[\""washing\""]""]"
16;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
17;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
18;1;outdoors;2012-11-19;"[""[\""outdoors\""]""]"
19;1;outdoors;2012-11-19;"[""[\""outdoors\""]""]"
20;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
21;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
22;1;outdoors;2012-11-19;"[""[\""outdoors\""]""]"
23;1;outdoors;2012-11-19;"[""[\""outdoors\""]""]"
24;1;snack;2012-11-19;"[""[\""snack\""]""]"
25;1;snack;2012-11-19;"[""[\""snack\""]""]"
26;1;toilet;2012-11-19;"[""[\""toilet\""]""]"
27;1;washing;2012-11-19;"[""[\""washing\""]""]"
28;1;toilet;2012-11-19;"[""[\""toilet\""]""]"
29;1;washing;2012-11-19;"[""[\""washing\""]""]"
30;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
31;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
32;1;washing;2012-11-19;"[""[\""washing\""]""]"
33;1;washing;2012-11-19;"[""[\""washing\""]""]"
34;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
35;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
36;1;outdoors;2012-11-19;"[""[\""outdoors\""]""]"
37;1;outdoors;2012-11-19;"[""[\""outdoors\""]""]"
38;1;washing;2012-11-19;"[""[\""washing\""]""]"
39;1;washing;2012-11-19;"[""[\""washing\""]""]"
40;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
41;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
42;1;snack;2012-11-19;"[""[\""snack\""]""]"
43;1;snack;2012-11-19;"[""[\""snack\""]""]"
44;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
45;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
46;1;washing;2012-11-19;"[""[\""washing\""]""]"
47;1;washing;2012-11-19;"[""[\""washing\""]""]"
48;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
49;1;grooming;2012-11-19;"[""[\""grooming\""]""]"
50;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
51;1;End;2012-11-19;"[""[\""End\""]""]"
52;1;End;2012-11-19;"[""[\""End\""]""]"
53;1;watchingtv;2012-11-19;"[""[\""watchingtv\""]""]"
54;3;sleeping;2012-11-26;"[""[\""sleeping\""]""]"
55;3;Start;2012-11-26;"[""[\""Start\""]""]"
56;3;Start;2012-11-26;"[""[\""Start\""]""]"
57;3;sleeping;2012-11-26;"[""[\""sleeping\""]""]"
58;3;toilet;2012-11-26;"[""[\""toilet\""]""]"
59;3;washing;2012-11-26;"[""[\""washing\""]""]"
