;case_id;activity;timestamp;source
0;6;Start;2011-07-10;"[""[\""Start\""]""]"
1;6;Start;2011-07-10;"[""[\""Start\""]""]"
2;6;toilet;2011-07-10;"[""[\""toilet\""]""]"
3;6;toilet;2011-07-10;"[""[\""toilet\""]""]"
4;6;sleep;2011-07-10;"[""[\""sleep\""]""]"
5;6;sleep;2011-07-10;"[""[\""sleep\""]""]"
6;6;relax;2011-07-10;"[""[\""relax\""]""]"
7;6;relax;2011-07-10;"[""[\""relax\""]""]"
8;6;personalhygiene;2011-07-10;"[""[\""personalhygiene\""]""]"
9;6;personalhygiene;2011-07-10;"[""[\""personalhygiene\""]""]"
10;6;toilet;2011-07-10;"[""[\""toilet\""]""]"
11;6;toilet;2011-07-10;"[""[\""toilet\""]""]"
12;6;personalhygiene;2011-07-10;"[""[\""personalhygiene\""]""]"
13;6;personalhygiene;2011-07-10;"[""[\""personalhygiene\""]""]"
14;6;relax;2011-07-10;"[""[\""relax\""]""]"
15;6;relax;2011-07-10;"[""[\""relax\""]""]"
16;6;snack;2011-07-10;"[""[\""snack\""]""]"
17;6;snack;2011-07-10;"[""[\""snack\""]""]"
18;6;personalhygiene;2011-07-10;"[""[\""personalhygiene\""]""]"
19;6;personalhygiene;2011-07-10;"[""[\""personalhygiene\""]""]"
20;6;sleep;2011-07-10;"[""[\""sleep\""]""]"
21;6;sleep;2011-07-10;"[""[\""sleep\""]""]"
22;6;snack;2011-07-10;"[""[\""snack\""]""]"
23;6;snack;2011-07-10;"[""[\""snack\""]""]"
24;6;relax;2011-07-10;"[""[\""relax\""]""]"
25;6;relax;2011-07-10;"[""[\""relax\""]""]"
26;6;snack;2011-07-10;"[""[\""snack\""]""]"
27;6;snack;2011-07-10;"[""[\""snack\""]""]"
28;6;snack;2011-07-10;"[""[\""snack\""]""]"
29;6;snack;2011-07-10;"[""[\""snack\""]""]"
30;6;toilet;2011-07-10;"[""[\""toilet\""]""]"
31;6;toilet;2011-07-10;"[""[\""toilet\""]""]"
32;6;relax;2011-07-10;"[""[\""relax\""]""]"
33;6;relax;2011-07-10;"[""[\""relax\""]""]"
34;6;End;2011-07-10;"[""[\""End\""]""]"
35;6;End;2011-07-10;"[""[\""End\""]""]"
