;case_id;activity;timestamp;source
0;9;Start;2011-06-29;"[""[\""Start\""]""]"
1;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
2;9;Start;2011-06-29;"[""[\""Start\""]""]"
3;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
4;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
5;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
6;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
7;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
8;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
9;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
10;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
11;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
12;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
13;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
14;9;relax;2011-06-29;"[""[\""relax\""]""]"
15;9;relax;2011-06-29;"[""[\""relax\""]""]"
16;9;mealpreperation;2011-06-29;"[""[\""mealpreperation\""]""]"
17;9;mealpreperation;2011-06-29;"[""[\""mealpreperation\""]""]"
18;9;personalhygiene;2011-06-29;"[""[\""personalhygiene\""]""]"
19;9;personalhygiene;2011-06-29;"[""[\""personalhygiene\""]""]"
20;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
21;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
22;9;relax;2011-06-29;"[""[\""relax\""]""]"
23;9;relax;2011-06-29;"[""[\""relax\""]""]"
24;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
25;9;toilet;2011-06-29;"[""[\""toilet\""]""]"
26;9;relax;2011-06-29;"[""[\""relax\""]""]"
27;9;relax;2011-06-29;"[""[\""relax\""]""]"
28;9;mealpreperation;2011-06-29;"[""[\""mealpreperation\""]""]"
29;9;mealpreperation;2011-06-29;"[""[\""mealpreperation\""]""]"
30;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
31;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
32;9;relax;2011-06-29;"[""[\""relax\""]""]"
33;9;relax;2011-06-29;"[""[\""relax\""]""]"
34;9;personalhygiene;2011-06-29;"[""[\""personalhygiene\""]""]"
35;9;personalhygiene;2011-06-29;"[""[\""personalhygiene\""]""]"
36;9;relax;2011-06-29;"[""[\""relax\""]""]"
37;9;relax;2011-06-29;"[""[\""relax\""]""]"
38;9;mealpreperation;2011-06-29;"[""[\""mealpreperation\""]""]"
39;9;mealpreperation;2011-06-29;"[""[\""mealpreperation\""]""]"
40;9;relax;2011-06-29;"[""[\""relax\""]""]"
41;9;relax;2011-06-29;"[""[\""relax\""]""]"
42;9;relax;2011-06-29;"[""[\""relax\""]""]"
